character,chunk_id
爱,1
安,2
按,3
拔,4
报,5
被,6
倍,7
本,8
鄙,9
兵,10
病,11
曾,12
察,13
长,14
朝,15
乘,16
城,17
诚,18
池,19
除,20
传,21
辞,22
从,23
存,24
达,25
怠,26
殆,27
当,28
道,29
得,30
度,31
短,32
多,33
发,34
方,35
非,36
复,37
负,38
顾,39
固,40
归,41
过,42
何,43
恨,44
后,45
胡,46
患,47
或,48
疾,49
及,50
即,51
既,52
假,53
间,54
见,55
解,56
进,57
尽,58
就,59
举,60
绝,61
堪,62
克,63
类,64
怜,65
临,66
弥,67
名,68
末,69
莫,70
乃,71
内,72
判,73
期,74
奇,75
迁,76
请,77
穷,78
求,79
去,80
劝,81
却,82
如,83
若,84
善,85
稍,86
少,87
涉,88
胜,89
识,90
使,91
是,92
适,93
书,94
孰,95
属,96
数,97
遂,98
率,99
说,100
私,101
素,102
汤,103
涕,104
通,105
徒,106
图,107
退,108
亡,109
王,110
望,111
恶,112
微,113
闻,114
相,115
谢,116
悉,117
信,118
兴,119
行,120
修,121
徐,122
许,123
阳,124
要,125
宜,126
遗,127
贻,128
易,129
阴,130
引,131
右,132
逾,133
造,134
知,135
置,136
致,137
质,138
治,139
诸,140
贼,141
族,142
卒,143
走,144
左,145
坐,146
睡,147
寐,148
眠,149
寝,150
看,151
诵,152
视,153
念,154
奔,155
能,156
读,157
饯,158
休,159
任,160
卧,161
旁,162
而,163
俾,164
便,165
怨,166
宾,167
熙,168
静,169
顺,170
理,171
暴,172
备,173
比,174
敝,175
博,176
弛,177
次,178
敌,179
第,180
笃,181
夺,182
讽,183
工,184
规,185
会,186
籍,187
济,188
加,189
将,190
节,191
竟,192
居,193
具,194
勒,195
陵,196
令,197
论,198
慕,199
戚,200
潜,201
趋,202
让,203
尚,204
省,205
事,206
完,207
委,208
务,209
徙,210
鲜,211
幸,212
凶,213
秀,214
畜,215
延,216
偃,217
谒,218
意,219
诣,220
益,221
虞,222
与,223
喻,224
遇,225
责,226
征,227
直,228
制,229
著,230
振,231
国,232
夏,233
仁,234
赤,235
佛,236
宗,237
上,238
玉,239
里,240
史,241
孝,242
化,243
儒,244
下,245
紫,246
清,247
出,248
仙,249
幼,250
和,251
义,252
教,253
师,254
文,255
谦,256
太,257
自,258
释,259
生,260
君,261
至,262
为,263
忠,264
钱,265
元,266
黄,267
礼,268
大,269
黑,270
公,271
前,272
冲,273
今,274
德,275
处,276
白,277
汉,278
心,279
作,280
正,281
山,282
故,283
璞,284
币,285
时,286
中,287
神,288
死,289
朴,290
性,291
问,292
伪,293
家,294
未,295
欲,296
姓,297
日,298
华,299
悟,300
青,301
情,302
红,303
门,304
老,305
言,306
灵,307
来,308
智,309
育,310
氏,311
虚,312
明,313
穿,314
忘,315
立,316
八,317
巴,318
霸,319
般,320
白,321
百,322
帛,323
柏,324
孛,325
雹,326
博,327
駁,328
濼,329
北,330
亳,331
敗,332
卑,333
誖,334
貝,335
狽,336
婢,337
備,338
避,339
勹,340
枹,341
苞,342
保,343
飽,344
寶,345
豹,346
暴,347
瀑,348
虣,349
爿,350
奔,351
邦,352
並,353
旁,354
祊,355
偪,356
鼻,357
匕,358
比,359
妣,360
鄙,361
庇,362
必,363
柲,364
毖,365
飶,366
駜,367
畀,368
敝,369
畢,370
煏,371
