词语	义项描述	语料
爱	喜爱，爱好	[爱]此沧江闲白鸥。
爱	喜爱，爱好	[爱]此江水清，芦洲隐遥嶂。
爱	"通""薆(ài)""，隐蔽，躲藏"	[爱]而不见，搔首踟躇。
爱	喜爱，爱好	[爱]尔无羁束，云山恣意过。
爱	爱护，加惠，钦慕，爱戴	[爱]好人物，善诱无倦，士类以此高之。
爱	爱护，加惠，钦慕，爱戴	[爱]敬既同，情礼兼到。
爱	爱护，加惠，钦慕，爱戴	[爱]君高野意，烹茗钓沦涟。
爱	通“暧”，昏暗	按：文选“[爱]”作“昏”，“之”作“而”。
爱	吝惜，舍不得	百姓皆以王为[爱]也。
爱	吝惜，舍不得	草玄寂淡无人[爱]，不遇刘歆更语谁。
爱	"通""薆(ài)""，隐蔽，躲藏"	常[爱]西亭面北林，公私尘事不能侵。
爱	情爱，仁爱，恩惠，德行美好	臣闻宽大所以兼覆，慈[爱]所以怀众。
爱	情爱，仁爱，恩惠，德行美好	到晚年、遗[爱]续新题，都堪说。
爱	情爱，仁爱，恩惠，德行美好	帝内重绾而颛任之，礼遇信[爱]，衮弗及也。
爱	吝惜，舍不得	风流合是阶除玉，[爱]惜真成掌上珠。
爱	通“暧”，昏暗	侬家本是持竿者，为[爱]明时入帝乡。
爱	通“暧”，昏暗	上台[爱]育通幽细。
安	哪里，怎麽	[安]说效千金乎？
安	安全，安稳，安定	[安]危在出令，存亡在所任
安	安全，安稳，安定	[安]危在出令，存亡在所任。
安	哪里，怎麽	[安]在，何在也。他皆类此。
安	安定	保，[安]也，就高祖以自[安]。
安	安全，安稳，安定	卜居官尚吉不。吉，呈兆身正，若横吉[安]；不吉，身节折，首仰足开。
安	哪里，怎麽	陈涉太息曰：“嗟乎，燕雀[安]知鸿鹄之志哉！”
安	安静，平静	澹泊，[安]静也。
安	安适，安逸	夫[安]乐无事，不见覆军杀将
安	安适，安逸	夫[安]乐无事，不见覆军杀将，无过燕者。
安	安适，安逸	行步[安]舒也。
安	安置，安放	今公取宜阳以为功，收楚韩以[安]之。
安	安置，安放	离山十里有王平[安]营。
安	安置，安放	吕氏之事，平为本谋，终[安]宗庙，定社稷。
安	安定	宁，[安]也，各[安]其处。
安	安静，平静	师古曰：「澹泊，[安]静也。澹音徒滥反。泊音步各反，又音魄。」
安	安静，平静	文公欲[安]之，齐姜乃与子犯谋，醉而遣之。
安	安定	文公欲[安]之，齐姜乃与子犯谋，醉而遣之。後遂反国，与时会也。
按	按语	[按]：成化间，刘文安定之所咏文皇战马，本有八骏。
按	按语	[按]：集解引通鉴胡注，谓“当”当作“何”，烧当、烧何，羌两种也。
按	按语	[按]：南城晋志作“南武城”。
按	巡行	[按]跸夷关险，张旗亘井泉。
按	控制，抑止	[按]不住刺史
按	抚，抚摸	[按]剑从沙漠，歌谣满帝京。
按	控制，抑止	[按]节辞黄阁，登坛恋赤墀。
按	控制，抑止	[按]节巡河右，鸣驺入汉阳。
按	抚，抚摸	[按]金雁银筝风韵，捧金钟翠袖殷勤，听金莺彩燕竞争春。
按	抚，抚摸	[按]锦瑟佳人劝酒。
按	依照，依据，按照	[按]景佑、殿本都作「得」。
按	依照，依据，按照	[按]九真图，崇山至越常四十里。
按	巡行	[按]临宠马冤愆脱，百岁姻缘到白头。
按	依照，依据，按照	[按]俗荆南牧，持衡吏部郎。
按	考察，追究	朝廷遣黄潜善[按]视，潜善归谓讹传。
按	考察，追究	臣等谨[按]蔡京罪恶最大。
按	巡行	次早，星火发牌，[按]临洪洞县。
按	抑，向下压	将简帖儿拈，把妆盒儿[按]。
按	击	鸣家瀚海曲，[按]节阳关外。
按	抑，向下压	拇指剪去甲，[按]定泥底。
按	抑，向下压	婆子去扯他时，被他两手拿住衣袖，紧紧[按]定在椅上，动弹不得。
按	考察，追究	秦始皇时，赵高有罪，蒙毅[按]之，当死。
按	击	遂渐开喉顿嗓，取扇[按]拍。
按	击	五柳闭门高士去，三苗[按]节远人归。
拔	拉出，抽出，拔出	[拔]本塞源，自图家国，其有成功者乎？
拔	攻占，占领	[拔]城阵云合，转旆胡星坠。
拔	超出	[拔]萃衡门，俱渐鸿翼，发愤忘餐，岂要斗食。
拔	攻占，占领	[拔]邓州，执刺史国湘。
拔	拉出，抽出，拔出	[拔]剑行人舞，挥戈战马驰。
拔	吸出，除去	[拔]去眼中钉，肉中刺。
拔	选出，提拔	[拔]人物则不私于党，负志业则咸尽其才。
拔	攻占，占领	[拔]延州。
拔	超出	[拔]周唐之盛德兮。
拔	选出，提拔	艾本屯田掌犊人，宣皇帝[拔]之于农吏之中，显之于宰府之职。
拔	拉出，抽出，拔出	安帝永初元年，大风[拔]树。
拔	选出，提拔	闭绝私路，[拔]进英隽。
拔	动摇，改变	不[拔]，谓其坚固不[拔]也。中国谓京师。
拔	超出	出于其类，[拔]乎其萃。
拔	吸出，除去	捽，[拔]取也。
拔	高峻，挺拔，特立	尔神采英[拔]，后之知名，当出吾右。
拔	速疾，迅速	高祖[拔]起垅亩，有雄桀之姿。
拔	箭的末端	公曰左之，舍[拔]则获。
拔	动摇，改变	谷水从地中数丈涌出，故城不[拔]。
拔	动摇，改变	乐则行之，忧则违之，确乎其不可[拔]。
拔	枝叶繁盛貌	青菰临水[拔]，白鸟向山翻。
拔	高峻，挺拔，特立	然峭[拔]秀丽皆不可与小孤比。
拔	脱离，离开，摆脱	王慧龙[拔]难自归，间关夷险，抚人督众，见惮严敌。
拔	脱离，离开，摆脱	振[拔]污涂，跨腾风云
拔	高峻，挺拔，特立	仲宣子玄就，幼而俊[拔]。
报	断狱，判决罪人	捷等并力争。顷之，令道、保节制有司。见捷又陈不便者数事。皆不[报]。
报	报复	珍国明镜虽在，而断金莫验，[报]骂之义，理则宜然
报	告知，报告，答复	[报]大王得知
报	告知，报告，答复	[报]与俺那老提控叔叔光知道。
