爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
安,1.哪里，怎麽。如：[安]说效千金乎？2.安全，安稳，安定。如：[安]危在出令，存亡在所任3.安定。如：保，[安]也，就高祖以自[安]。
按,1.按语。如：[按]：成化间，刘文安定之所咏文皇战马，本有八骏。2.巡行。如：[按]跸夷关险，张旗亘井泉。3.控制，抑止。如：[按]不住刺史
拔,1.拉出，抽出，拔出。如：[拔]本塞源，自图家国，其有成功者乎？2.攻占，占领。如：[拔]城阵云合，转旆胡星坠。3.超出。如：[拔]萃衡门，俱渐鸿翼，发愤忘餐，岂要斗食。
报,1.断狱，判决罪人。如：捷等并力争。顷之，令道、保节制有司。见捷又陈不便者数事。皆不[报]。2.报复。如：珍国明镜虽在，而断金莫验，[报]骂之义，理则宜然3.告知，报告，答复。如：[报]大王得知
被,1.遭受，遇到。如：贬右武卫上将军，事具彬传。四年春，授保静军节度。端拱元年，[被]病，召归阙，卒，年六十七。赠侍中。2.表示被动。如：金川平。元俊部将张芝元请於阿桂，谓元俊有功无罪，徒以忤专阃[被]罗织，语甚切。阿桂为疏请，赦其子还。3.通“髲”，假发。如：[被]之僮僮，夙夜在公。
倍,1.加倍，倍数。如：奋年已五十，唯有一子，终不顾望，遂穷力讨之。吏民感义，莫不[倍]用命焉。2.越发，更加，倍加。如：乱来犹记旧篇章。 陶潜岂是铜符吏，田凤终为锦帐郎。莫怪相逢[倍]惆怅，九江烟月似潇湘。3.背弃，违背，背叛。如：[倍]道而行，则天下不能使之吉。
本,1.原来的。如：（尝思之，苕霅水清可鉴，邑屋之影入焉。而甍栋丹垩，悉能透现[本]象，有如水玉。故善为言者，得以裒撮其美而曰：此其宫盖水晶为之，2.本来，原来。如：下狱，寻释复官。既而郭宗人共乞择英孙一人嗣英爵。廷臣皆言良[本]英嫡孙，宜嗣侯。诏可。正德初卒。子勋嗣。3.自己一边的，当今的。如：都督源子邕与裴衍合围鉴，斩首传洛，诏改姓元氏。庄帝初，许复[本]族，又特复鉴王爵，赠司空。
鄙,1.质朴，鄙陋。如：[鄙]贱之人，不知将军宽之至此也。2.周代行政区划名。如：[鄙]师各掌其[鄙]之政令祭祀．凡作民．则掌其戒令．以时数其众庶．而察其媺恶而诛赏．岁终．则会其[鄙]之政而致事．3.边邑，边远地区。如：[鄙]谚曰：「不习为吏，视已成事。」
兵,1.士兵，军队。如：[兵]埶巧便，臣已更之。可不烦方寸之印，尺帛之赐，高可以涤患，下可以2.军事，战争，或者有关军事的事情。如：“驽怯无方略。”世祖曰：“将军久将，习[兵]，岂与我掾史同哉！”武由是归心。3.兵器。如：不受，遂前至河南。劭迎劳之，因譬令还军。卓疑有变，使其军士以[兵]胁劭。
病,1.重病。如：（藏于己为道义）。（施于物为政能），阖境有裤襦之乐。 候[病]须通脉，防流要塞津。救烦无若静，补拙莫如勤。 削使科条简，2.生病，患病。如：（德舆受辟于江西廉推），（崔又知度支院在焉）。孰谓原思[病]，非关宁武愚。 方看簪獬豸，俄叹絷¤¤。芳讯风情在，3.枯干的。如：[病]叶多先坠，寒花只暂香。
曾,1.曾经，已经，才。如：(白)男大须婚，女大须嫁。老身大的孩儿必达，不[曾]婚娶。2.表示出乎意料，相当于“乃”“竟”。如：不谥灵缪，为幸已多，犹曰祖宗，孰云其可？而史臣载削，[曾]无辨明，每有所书，必存庙号，何以申劝沮之义，杜渝滥之源者乎？3.指与自己隔着两代的亲属。如：到洽，字茂氵公，彭城武原人也。宋骠骑将军彦之[曾]孙。祖仲度，骠骑江夏王从事中郎。父坦，齐中书郎。洽年十八，为南
察,1.观察。如：[察]日、月之行以揆岁星顺逆。曰东方木，主春，日甲乙。义失者，罚出岁2.考察后加以推荐。如：[察]孝廉，举高第，三迁侍中。桓帝时，数有醔异，下策博求直言，儒上封3.明察，明辨。如：“今当立帝，宜择长年高明有德，任亲政事者，愿将军审详大计，[察]周、霍之立文、宣，戒邓、阎之利幼弱。”
长,1.年龄大。如：(小旦)渐行渐远，亲兄[长]不知死和存。愁人见说愁更新。2.表示时间，空间有相当大的距离，与“短”相对。如：[长]冠，一曰斋冠，高七寸，广三寸，促漆纚为之，制如板，以竹为里。初3.抚养，抚育。如：[长]吾女与汝女，待其嫁，如此而已。
朝,1.朝廷。如：孝武太元八年二月癸未，黄雾四塞。是时，道子专政，亲近佞人，[朝]纲方替。2.早晨。如：时盛暑热，人尽寒心。帝求米五斛、牛骨五具以赐左右，傕曰：“[朝]餔上饭，何用米为？”3.访，见。如：斯罗、阿陀、比罗、阿夷义多、婆那伽、伽师达、于阗诸国并遣使[朝]献。丙午，以去年旱俭，遣使者所在赒恤。
乘,1.驾，坐。如：耕车，其饰皆如之。有三盖。一曰芝车，置耒耜之箙，上亲耕所[乘]也。2.顺应，乘着。如：恩泽不逮于单门。宁饥寒于尧舜之荒岁兮，不饱暖于当今之丰年。[乘]理虽死而非亡，违义虽生而匪存。3.一车四马的总称。如：中心恋恋，恻然不能言。”于是车驾祖送，流涕而诀。复赐[乘]舆服御，珍宝舆马，钱布以亿万计。
城,1.守城。如：（李）应庚发两路兵[城]南[城]。2.城市。如：楚怀王初封项籍为鲁公，及其死，鲁最後下，故以鲁公礼葬项王谷[城]。汉王为发哀，泣之而去。3.城墙。如：[城]非不高也，池非不深也。
诚,1.表肯定，果真，确实。如：！非质有其内，恶能用之哉？甚矣，“安危在出令，存亡在所任”，[诚]哉是言也！2.心意真诚。如：（大方诸佛说[诚]言，舌相三千广赞宣。池上托生莲九品，未知生向那枝边。）3.表假设条件下的真实，假如真的。如：[诚]如是，则霸业可成，汉室可兴矣。
池,1.水塘，湖。如：（武丘寺也），王楼月自新。（郡内东南楼名也），[池]塘闲长草。 丝竹废生尘，暑遣烧神酎。晴教煞舞茵，待还公事了。2.护城河。如：救曹泥，取万俟受洛干，大收其用。河西费也头虏纥豆陵伊利居河[池]，恃险拥众，神武遣长史侯景屡招不从。3.承霤。如：金芝九莖産于函德殿銅[池]中．
除,1.拜官授职。如：[除]安成王征虏参军，主簿，尚书殿中郎，出为庐陵内史，豫州治中，太祖2.去掉，除去。如：[除]伏逆，一见六百三十六日，行百三度。伏复，七十一日二千3.修治，整治。如：柏梁赋诗高宴罢，诏书法驾幸河东。 河东太守亲扫[除]，奉迎至尊导銮舆。五营夹道列容卫，三河纵观空里闾。
